,Team,Year,Projected,Actual
0,Arizona Cardinals,2021,Qualified,Qualified
1,Arizona Cardinals,2022,None,None
2,Atlanta Falcons,2021,None,None
3,Atlanta Falcons,2022,Qualified,None
4,Baltimore Ravens,2021,Qualified,None
5,Baltimore Ravens,2022,Qualified,Qualified
6,Buffalo Bills,2021,Qualified,Qualified
7,Buffalo Bills,2022,Qualified,Qualified
8,Carolina Panthers,2021,None,None
9,Carolina Panthers,2022,None,None
10,Chicago Bears,2021,None,None
11,Chicago Bears,2022,None,None
12,Cincinnati Bengals,2021,Qualified,Qualified
13,Cincinnati Bengals,2022,Qualified,Qualified
14,Cleveland Browns,2021,None,None
15,Cleveland Browns,2022,None,None
16,Dallas Cowboys,2021,Qualified,Qualified
17,Dallas Cowboys,2022,Qualified,Qualified
18,Denver Broncos,2021,None,None
19,Denver Broncos,2022,None,None
20,Detroit Lions,2021,None,None
21,Detroit Lions,2022,None,None
22,Green Bay Packers,2021,Qualified,Qualified
23,Green Bay Packers,2022,None,None
24,Houston Texans,2021,None,None
25,Houston Texans,2022,None,None
26,Indianapolis Colts,2021,Qualified,None
27,Indianapolis Colts,2022,None,None
28,Jacksonville Jaguars,2021,None,None
29,Jacksonville Jaguars,2022,Qualified,Qualified
30,Kansas City Chiefs,2021,Qualified,Qualified
31,Kansas City Chiefs,2022,Qualified,Qualified
32,Las Vegas Raiders,2021,None,Qualified
33,Las Vegas Raiders,2022,None,None
34,Los Angeles Chargers,2021,None,None
35,Los Angeles Chargers,2022,None,Qualified
36,Los Angeles Rams,2021,Qualified,Qualified
37,Los Angeles Rams,2022,None,None
38,Miami Dolphins,2021,None,None
39,Miami Dolphins,2022,None,Qualified
40,Minnesota Vikings,2021,None,None
41,Minnesota Vikings,2022,None,Qualified
42,New England Patriots,2021,Qualified,Qualified
43,New England Patriots,2022,None,None
44,New Orleans Saints,2021,Qualified,None
45,New Orleans Saints,2022,None,None
46,New York Giants,2021,None,None
47,New York Giants,2022,None,Qualified
48,New York Jets,2021,None,None
49,New York Jets,2022,None,None
50,Philadelphia Eagles,2021,Qualified,Qualified
51,Philadelphia Eagles,2022,Qualified,Qualified
52,Pittsburgh Steelers,2021,None,Qualified
53,Pittsburgh Steelers,2022,None,None
54,San Francisco 49ers,2021,None,Qualified
55,San Francisco 49ers,2022,Qualified,Qualified
56,Seattle Seahawks,2021,Qualified,None
57,Seattle Seahawks,2022,None,Qualified
58,Tampa Bay Buccaneers,2021,Qualified,Qualified
59,Tampa Bay Buccaneers,2022,None,Qualified
60,Tennessee Titans,2021,Qualified,Qualified
61,Tennessee Titans,2022,None,None
62,Washington Commanders,2021,None,None
63,Washington Commanders,2022,None,None
